Genes,actin_A1,actin_A2,actin_A3,control_C1,control_C2,control_C3,troponin_T1,troponin_T2,troponin_T3
ISOC2,9.38498659796204,9.801811761346212,9.915882986190502,9.703973635581182,10.345460691272706,10.35494356011726,10.066580371590351,9.940379673268247,NA
FERMT2,10.70821310661126,10.622146618049705,10.657512450341539,10.500772182460807,10.212545021375083,10.506714196167058,10.71109501720666,11.551770735403016,11.116771449203421
PNPLA2,7.824844211128239,7.867797645879606,7.527279858670487,7.6643761702855775,7.88356298768639,7.565035957210702,9.23454443062574,8.255261967039528,NA
FUBP1,10.049989877604002,10.178472630042116,10.231401206297289,9.512531103774572,9.532034424672329,9.878992341949665,10.177930246346515,10.524840705445474,11.050828160591449
LRRC59,9.286892529363227,8.87984904531761,8.834139176154348,8.874293252127632,8.776827786653934,8.868180528370285,9.89974069850318,10.583129603500222,10.540990103730257
TMEM143,10.912844438382765,10.75640345134337,11.322975922393,11.624958846780412,11.80922550904567,11.333295139569085,11.57483060292373,11.642687041360052,10.607230085534933
PBXIP1,11.834097470052036,11.982979318744025,11.478799949115766,12.109983259591614,11.958516466356501,12.221461023952248,11.814798733793896,12.015789876207254,12.021313150478768
TOMM6,8.977417312601133,9.04729586770599,8.408007867600324,8.953762855033784,8.687617133111306,9.17995137528437,9.098266469801835,9.381744092542826,8.936749817137054
AIDA,10.885406750779774,11.181957547049446,10.975453930947394,9.71258718312545,11.038809274471086,10.425667002853007,11.060013597138205,11.2853837027697,11.327437804931733
ARL8A,10.495023436682928,11.385323176175872,11.49490330130848,11.079068943674532,10.798050514767514,11.045097534918368,11.800156611676147,11.615530991646878,11.985543123063367
PTER,9.893232647174928,9.608663771082806,9.84316418357328,9.83173241331015,9.665205645118107,9.781357568961068,9.903847703762377,10.180219982170192,9.815045399805717
FAM136A,10.381391535963465,10.52076598702894,10.340918270272116,10.500991219139992,11.521629882179232,11.0336494728767,10.114991613333595,10.651917026988443,10.664063028105648
EFHD2,9.988258631236986,9.701133154847973,9.877138399390955,9.415050419062602,8.17031567844743,9.552683108825494,9.718748622043694,9.647290353552702,10.491271893771499
GALM,9.818046859086534,10.592942109863902,9.993745666018075,9.555267832893364,8.757835780204035,9.99304447929055,10.236707858547271,10.027066441061717,10.48880710810485
PPCDC,7.869254527115468,8.470703608096954,7.946403363007704,7.139703247889823,6.819678622413758,7.816282568893781,7.817220507280318,8.43607436727799,NA
ACSF2,10.77558737940462,10.25287946662837,10.29803896222532,10.803214865595569,10.93416812644163,11.077055133892669,10.47426364614602,10.674757227785147,10.598287162169806
ISOC1,10.803679099613102,11.26480029733304,11.4761652905872,10.522895339688246,10.5697701830692,10.759114211874152,11.088928070948889,10.995201831497178,11.57281389463234
CCDC124,10.209697043535261,10.262987442340215,10.031697738151033,10.235032921336181,10.190218584112575,10.584389441626405,10.251855153958264,10.284812535488564,10.546884816171977
OPTN,12.039714172316849,12.654141316506132,11.540159488265918,10.877897511672309,11.624053881007491,11.090582247304596,11.53540175272659,11.381126521081592,11.350226495358381
TUBGCP3,13.85648076698163,13.735619484174482,13.372963449843994,13.70329799880763,13.251830981027808,14.607246845869156,13.734575455179908,12.972507782499616,14.00809121169772
KCTD12,10.17070002016467,10.905101065216446,10.429360936617748,9.831199846207024,9.860901768462176,10.084927943212982,10.28426888829754,11.098005756168478,11.093282113498812
RCN3,9.979267983740296,9.722797287144722,9.68124372407824,9.286264478151967,8.197152790381255,9.41567206098917,8.703264745817938,10.223736271100922,9.614269461650096
RMDN1,10.804711855267882,10.587336859909271,10.384330476264136,10.529422652210421,10.714391497278559,10.815455759831014,10.576956664706092,10.521463033652774,10.835632007553082
ECHDC3,8.916234781660341,9.589861904048043,9.179389128630842,8.64479724130422,9.511462109210184,9.5335908274327,10.44661836151192,9.81418037990177,9.773482115185333
LRRC39,11.244774106365911,10.45917517839067,10.119617550281003,10.893824811122096,10.802209376069976,11.148065345257834,11.162105113672197,11.079466663341423,9.801869166311857
CMBL,13.391373626936858,13.300834727796442,13.769130003858578,13.353259024926206,13.415183360947442,13.898141123813172,13.904638349131998,13.490756742485887,13.869594430387181
MSI2,10.163396662462226,10.027532998037557,9.561792337436463,10.206818741266888,9.960254047484867,10.152198489927663,10.369487018132581,10.451511144753425,10.732116536051892
MRPL38,10.771175806048795,11.041467073058337,10.587317391038425,10.805566546780007,11.12862592583621,11.0091917879472,11.141449395969172,10.865702344581575,10.967038883676189
