"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DYNC1LI1",-0.229418761166048,12.5172912070835,-2.82550974012876,0.0171924408448586,0.0592808199493084,-4.51277741817877
"PTRF",0.215596305803475,13.4399873599719,2.82453037179969,0.0172219931304496,0.0593135078094155,-4.51449415879869
"VPS13D",-0.309317802735459,10.8157197793782,-2.8217259714894,0.0173068975184928,0.0595365333726964,-4.51940956630605
"ACYP2",-0.242765520315711,16.2121933938314,-2.8202289939726,0.0173523908047859,0.0596222695083227,-4.52203312094099
"SEPW1",-0.214440611120823,11.7930290416775,-2.81957924730503,0.0173721739582626,0.0596222695083227,-4.5231717872874
"IGKV2D-28",0.679399346760858,11.3186221291744,2.81698001083798,0.0174515405688042,0.0598251767758892,-4.52772653305666
"LCMT1",-0.147045038320577,12.5134311114621,-2.81508915276961,0.0175095054093911,0.05995433196379,-4.53103959802765
"PSMA5",-0.192961949418754,13.9289562138979,-2.80783942184269,0.0177335418090455,0.0606511759788534,-4.54373935658542
"HNRNPH3",0.133501392324591,11.7644861033338,2.804260724667,0.0178451897976995,0.0609624691932972,-4.55000667363636
"PSMC4",-0.152846062370196,13.3465497021225,-2.80118483374787,0.0179417137481208,0.0612214366347539,-4.55539253130562
"ARMCX2",0.197314763438881,11.0240496391634,2.80023608527461,0.0179715916273929,0.0612526565847129,-4.55705361189171
"SEC61B",0.141658221544439,11.6284051814012,2.7926533412114,0.0182121837984938,0.0620011556734439,-4.57032667048955
"MRPL4",0.196475080410137,12.2457016254634,2.78351357622448,0.0185064675431741,0.0629305081588948,-4.58631821247183
"CAND1",-0.152420745298713,12.301529415653,-2.78137217836645,0.0185761018404017,0.0630946907337781,-4.59006382399956
