"","P1_slow","P2_slow","P3_slow","P4_slow","P5_slow","P1_fast","P2_fast","P3_fast","P4_fast","P5_fast"
"SHMT2",11.1098306542788,11.5671633312889,11.8672991740829,11.6092249184221,11.4614794472862,11.2854379957939,11.4573808790725,11.6037005176317,11.7255366784311,11.1836698205315
"EPHX2",13.4119797976188,13.1202605610479,13.0985700315568,13.7510245307289,14.127671967039,13.4402073481435,13.1320176797134,13.1181851464249,13.6859642316958,13.7402876948868
"HSPA4",13.1008263372267,13.2629757012279,13.4857286988451,13.2594906546218,13.0818162781092,12.7830076072015,13.1471390075553,13.3184721983897,13.078081388568,12.8943940526155
"MPI",13.8195352304789,13.8822609290998,14.0784844174114,13.9637893338947,13.9122812258654,13.9935686085001,14.1838645977857,14.1441483665089,14.2175928335775,14.1864507508324
"PRSS3",12.8077574035893,12.4035735327849,12.3937319055666,12.4688098185062,12.7669429407558,12.4835235809873,12.3827778545576,12.2946278706689,12.1286388128526,12.9191444163529
"GPC1",11.6047157799617,11.6802075281043,11.4656860033843,11.53259892292,11.8781467314807,11.677482547845,11.5249921808315,11.2932682198146,11.4580267525531,11.7524266447919
"PFN2",15.2931112485917,15.5264992391366,15.1849605123872,15.3246457136167,15.175237650291,14.5735547886396,15.0832891011838,14.8656511698128,14.6732233083149,14.5288959457694
"CA8",15.8914413101179,15.6472957932355,15.7509634175492,15.9287979503003,15.7306399028516,16.026153119549,15.898433120172,15.7206717868256,15.6719556382262,15.8192819572291
"CTNNA1",10.7715174445985,10.9943534368589,10.6942969392516,10.6332635482359,10.7506328250549,11.0645541648362,11.2105160833159,11.2348558829167,11.5353725899924,10.836689482058
"CTNNB1",12.2077434170367,12.2646009361153,12.0532980436624,11.8510775010914,12.1069489160532,12.1789231385441,12.1404815140409,12.0209333714656,11.6587323006642,12.1928722422595
"PHB",15.5936467629661,15.5597355686105,15.637725761764,15.8151013464792,15.6496014543728,15.2549988981605,15.2529965205077,15.1222900782052,15.45475271867,15.5241348715238
"SERPINB6",14.5464834709892,14.5980931626464,14.8158486240142,14.7836171188082,14.4704046770656,14.1928135515092,14.0976453657788,14.2236699126971,14.2240556284825,14.1631661042856
"RDX",13.5164370325158,13.5507467853832,13.6241443145029,13.5135977805019,13.5036394275363,13.646266144601,13.8014405272079,13.8478990642181,13.7190410957817,13.738817334531
"RPA3",11.3288373912413,11.2425251009391,11.1978494231186,11.3327079336406,11.1228279948077,11.2875276909431,11.3729901752979,11.3226323638986,11.5567450292173,11.2333001244336
"RPL22",13.294890026038,13.3338517950111,13.2868274616324,13.1689854409787,13.2688343693438,13.4775144727151,13.5310158664676,13.3332437315463,13.3190625456222,13.4911014969165
"SPR",13.4828205156783,13.6830274914962,13.8301883650669,13.9615165479511,13.8897891279733,13.5168078190637,13.5210401916643,13.6211361132746,14.0099072165867,13.9524256602714
"SAA4",11.3895827767392,11.1929201834753,11.4880359296681,11.311214540693,10.9151623335721,10.9212367128558,11.2332361852527,11.0468625996385,11.4697030174175,11.3507348036843
"FBN1",14.0617087046606,13.6096404744368,13.4188131861788,13.5387527432996,13.5804821112258,13.7451385704374,13.4663696566688,13.5200949148913,13.2487212712835,13.4109738048228
"AGL",17.5915395069971,17.4775843687196,17.3635016951834,17.3323394651447,17.3352158696072,18.3803215327027,17.928483582515,18.0846630814354,18.0491523190907,17.8538181836207
"MYH9",14.3225142418283,14.4522154961783,14.5486714192349,14.531362733156,14.337712555358,14.1318242641117,14.2609784765203,14.1189086376682,14.113822339709,13.9992655477945
"MYH10",11.4895101910308,11.1294891015165,11.2757979868885,11.2026626221394,11.0901124196643,11.2015481005935,11.5299624376833,11.6546002291994,11.7782866173066,11.2226983175403
"ACTN2",20.4971657451784,20.5853715321304,20.6936962327436,20.6023172532202,20.6096404744368,20.5965116600385,20.5744757047136,20.3828667348707,20.3506534964097,20.5119550427239
"ADD1",10.6232966746569,10.3651045569257,10.392775473818,10.8967335172791,10.3165070225811,10.3949874081146,10.8223664761365,10.3978059972528,10.6275183091467,10.4928045604915
"BSG",13.9884079334903,13.9417445693406,13.677230414406,14.1894936349665,13.9123560840518,14.1706072472753,14.2045787856222,14.0846221627746,14.4511336051306,13.9465190596474
"FUS",11.1841216822653,11.5298100354731,11.5634394025784,11.5551690181812,11.5246004794211,11.2518552732182,11.5163847574177,11.2574821334048,11.5554780137755,11.3422413796733
"MYH11",11.8217739819706,11.5708050670291,12.0004747566267,11.7949208790543,11.7540147751012,12.1177729510846,12.1245381594432,11.8725500699406,11.9618668184731,12.0363625245351
"GLRX",13.1682496892496,13.0633950812885,12.8454900509444,12.7350101503886,13.0515488384404,13.9134731645337,13.400246760631,13.6042636417638,13.1847157576334,13.9206491208401
"PPM1A",11.4261857286064,11.5521668020599,11.5015794211637,11.5684855461527,11.3717766443379,11.4453304655651,11.4999648109324,11.4426325366836,11.4947156072879,11.3593672162165
"IGFALS",10.4423111417848,10.5128417900758,10.6181376898434,11.0221735910077,10.2777523356938,10.8117171192756,10.4739234676184,10.6679558695063,10.6954719030376,10.4994871614009
"HMGCL",12.3579450634756,12.5079527116402,12.7490167119115,12.8189158865251,12.7034710460719,12.27111573548,12.1360138229131,12.3158390018856,12.6307933648684,12.5955903862658
"PSMC2",12.8828214445236,12.8932977382819,13.0160770069203,12.799734832311,12.8037218824603,12.7613714815636,12.8174426420765,12.9185054999398,12.7938362711507,12.7160681011125
"GJC1",11.7623655419387,11.9549232920303,11.7184587801701,11.4571103030798,11.7525311807903,11.9877862726321,12.3059420296641,12.2535816075948,12.2801404406268,12.1452953349336
"ARL3",12.1907102172575,12.1340616648706,11.7731392067197,11.8092470440674,11.8670468408534,12.1614690180952,12.2194256741582,11.8880506499294,12.2163032830155,12.0553637881909
"MAP2K2",11.4563178722179,11.6211288434217,11.5662443547786,11.5285790932264,11.5314009561318,11.4003724832106,11.4968092435114,11.5222991155615,11.5068034377956,11.4108567480597
"ATP5C1",18.1873208058564,18.2880414568217,18.2638789373787,18.5297886771225,18.3962368363276,17.6634076597941,17.695197174817,17.5321504288951,17.9740570990123,18.0446792817029
"ATP6V1E1",12.4963594823083,12.396532309488,12.4803071047759,12.1849950107729,12.5067293046486,12.3507430898364,12.491206287113,12.4940512846877,12.1774922931069,12.5579422867874
"CPOX",11.8177831217745,11.047965802195,11.6320545950134,11.2518815032287,11.8993569229231,12.046840845784,11.6824547883973,11.6470926802172,11.6078904892618,11.7102300038702
"RPL4",13.4329463620146,13.3786308045082,13.2840472951273,13.2974178518331,13.4028562556995,13.5873907772295,13.5287837342952,13.6296184483936,13.4846880568365,13.3666364033831
"LONP1",13.558024364117,13.7834075421735,13.8587775221935,13.8989774240967,13.9476369379518,13.509855247444,13.771085598326,13.7269205995185,13.7853845844661,13.9799793580588
"PGM1",19.4139394106212,19.3459379461168,19.3058569084932,19.1928893148863,19.4057792671697,20.1041429419822,19.8588051273969,19.9784786521877,19.95912571102,20.0070696634694
"POLR2I",8.73658796440492,9.87688777792956,10.2287705998597,10.3442959079158,10.7364442136717,10.8599307355261,10.6969675262343,10.4166843382594,10.4142624060736,9.98341575452041
"SERPINF1",11.68475383625,11.3841739557948,11.8640545623895,11.64104018795,11.4446760730775,11.7352761566655,11.597669607053,11.687979231872,11.6711783571317,11.548672623211
"DLST",16.0057399825637,16.1556088435421,16.0430935622856,16.3774892994583,16.1676297713198,15.8542399323945,15.7271316098089,15.7130508280301,16.0650296120221,16.0077010609357
"GMPR",11.0830493785243,11.1076747937853,11.1923435594365,11.1682983885524,11.2346640712568,11.8871748968271,11.8922771723805,11.8221733985323,11.8708925322641,11.6088646730287
"GPX4",12.6245665664672,12.2767832870078,12.5656043154407,12.3051445058374,12.57931593758,12.9939816427443,12.9942711791328,12.8295840077394,12.7041766347932,13.1294791150912
"SRP14",12.2905948880826,12.3717766443379,12.2776700629956,12.3303567169579,12.466532652984,12.2704501012407,12.5494701975599,12.4569602780671,12.423139552079,12.6307631084019
"TAGLN2",12.6160847175409,12.6454551122571,12.7586323912044,12.6084299036881,12.4166471290988,12.5038065964677,12.5918974583566,12.5802039434612,12.3084215162596,12.3865120581424
"TALDO1",14.0422664203242,13.9376312899568,13.8312379579363,13.8882771130996,13.9479017121105,13.9634877983317,13.8943251625301,13.6944340685631,13.6733885251186,13.8273912708516
"SNCA",10.6521906834283,10.2668919285287,10.579524501013,10.8703532388904,10.5170539155778,10.5346627817038,10.538227739736,10.4866192372947,10.760345712898,10.7233353355189
"ETFB",16.3674032719849,16.37731725401,16.471487928101,16.701538830513,16.6382096266336,15.3922469030568,15.495854658495,15.2188242205137,15.7203870308871,16.002227526228
"RBMX",12.2842978108605,12.3663222142458,12.3378810955525,12.3890637686755,12.2743927140837,12.0356513998469,12.1502708903525,12.0310532744444,12.2202392514784,12.1145577468818
"ATP6V1A",12.4729396118845,12.4607963076013,12.3442959079158,12.4582948876142,12.3073972163664,12.4734216466749,12.3863693055111,12.3686343377443,12.4231883137563,12.2228955876031
"HSPA9",16.2813796348102,16.3987436919382,16.5507467853832,16.6680711093205,16.4560334952892,16.020319605277,16.1291435947754,16.1091062689158,16.3962551457606,16.2664918763683
"EIF4A3",11.6940705385325,12.3771617497872,12.2248910217562,10.132011251293,NA,11.6030388382587,11.2697749229588,11.010750955874,12.1842678949657,11.9916529297975
"RPS19",13.1405102723682,13.052149286577,13.1197441461334,13.0515488384404,13.1005145143172,13.1226005071622,13.216923153309,13.0944818608502,13.0891027957809,13.175567536811
"RPL3",11.1962025178076,11.2868580511791,11.1816038473897,11.1533422138468,11.3803798909163,11.1431216938395,10.7446813105477,11.4212262717634,11.1937438661261,11.2971742174984
"COL15A1",15.9082968828073,15.6353780358504,15.7375405323384,15.7267843050807,15.64632249788,15.8525441202548,15.6080433476864,15.6226124597981,15.6260629307291,15.5817612324946
"COL18A1",10.8841705191084,11.1912998493236,10.8914692793855,11.0086099472285,10.9046948267777,10.8385263814142,11.1873211402994,10.7991060138356,11.0291814530639,10.95269351305
"DDOST",14.0867043764444,13.846082527032,13.7075424773059,13.7028153475944,14.0909394159844,14.3787147453359,13.8757205586559,14.0314427555941,14.1717451826253,14.0523454030194
"ANP32A",12.034654548315,11.929258408637,11.962628849345,11.6431359057336,11.7522361322759,11.5284277669002,11.5022251679455,11.4317193502258,11.533003580166,11.6210032876169
"CAPG",11.4613796795599,11.8685139238955,11.6426158406851,11.7110187848606,11.3802608272008,12.2819300269554,11.8952435555113,12.1141299769314,12.0105450261733,12.2366241578541
"CAP2",15.3139276739677,15.3649553784819,15.4193381447983,15.2032418524813,15.3720215754699,15.5423000928916,15.4887370980075,15.4195685830646,15.3089910933017,15.5057817430766
"CCT6A",12.7152590108241,12.989926358058,13.0847784974041,13.0401018044659,12.8390806973943,12.7051201842549,13.0534255670496,13.0974285095722,12.9549232920303,12.8520554254408
"RPL13A",12.4410092786707,12.6502327652491,12.761064988877,12.5853922665564,12.536929541357,12.5015909107644,12.705733890777,12.6778363384431,12.5349363324618,12.5627456576298
"STAT3",10.6348110501717,10.8993569229231,11.0253264636364,10.8965973026027,10.5123499513582,10.795876104876,10.8734056434041,11.0991074752383,11.050229588383,10.5892848718933
"PEX19",10.069355887133,10.5806053152822,10.4475585345219,10.4478906158943,10.5138779619759,NA,9.90989308377004,10.0484809628705,10.0197436070152,10.5529354540333
"MDH1",19.674833632057,19.474913988886,19.631029586382,19.6303877022931,19.612695750474,18.872076462015,18.7708070602562,18.6560162820575,18.9218682782774,19.0620235292446
"MDH2",19.8703005527966,20.0291793659506,20.0462554173085,20.1349275502645,20.1446731778981,19.7573324494817,19.7280318941908,19.6792928091484,20.0562142920276,20.027897782821
