"","Genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","signifficant","names"
"44","PDCL3",-1.28495888763483,9.88411331172438,-3.10642174113243,0.0115348092420654,0.575235282220109,-2.74714947881224,0.00323417161251923,"Downregulated (π < 0.05)",""
"45","SYNM",-1.0062394119363,14.847758627228,-3.08415574456372,0.0119737329774885,0.575235282220109,-2.77093247763806,0.0116476644672298,"Downregulated (π < 0.05)",""
"46","IGF2R",-0.79021680109013,8.98681820522298,-3.07594012841106,0.0121399714040883,0.575235282220109,-2.77972371319254,0.030627856995692,"Downregulated (π < 0.05)",""
"47","TAGLN",1.69297453253268,12.7236355606659,3.06843888426656,0.0122938169343077,0.575235282220109,-2.78775790869643,0.000583295068557035,"Upregulated (π < 0.05)",""
"48","GCDH",1.49485654298872,7.23142191628087,3.24396081413152,0.0124462119693173,0.575235282220109,-3.14993442009212,0.00142021430903163,"Upregulated (π < 0.05)",""
"49","MRPS31",-0.947008185320179,10.0659377331427,-3.0541758256864,0.0125918659957348,0.575235282220109,-2.80305357918041,0.0158770483345737,"Downregulated (π < 0.05)",""
"50","SQSTM1",-0.998717331273172,10.9957151518151,-3.02731445718028,0.0131733853566479,0.575235282220109,-2.83192696914873,0.0132467457750042,"Downregulated (π < 0.05)",""
"51","RBM14",1.92167882634633,8.20465821881619,3.87530424641509,0.0132040210953573,0.575235282220109,-3.52163780734502,0.000244681376100641,"Upregulated (π < 0.05)",""
"52","DUSP29",-0.922610950154354,9.12167443661045,-3.01996848213902,0.0133371433789195,0.575235282220109,-2.83983823258864,0.0186278369074474,"Downregulated (π < 0.05)",""
"53","MARS2",-1.69614959160498,8.01012963865006,-3.50451510190955,0.0138926952542117,0.575235282220109,-3.48882097536914,0.000707763392855851,"Downregulated (π < 0.05)",""
"54","EBF3",1.95163571367912,7.80236366160028,3.16867591001354,0.0139013389382657,0.575235282220109,-2.94699926279755,0.000237641894158954,"Upregulated (π < 0.05)",""
"55","FABP4",1.17621545733136,15.4824952117685,2.99210691805223,0.0139773498655324,0.575235282220109,-2.8699011646074,0.00658597420530532,"Upregulated (π < 0.05)",""
"56","SNRPB",2.35690966846944,10.3504422704786,3.80332319609799,0.0141580278850402,0.575235282220109,-3.35560991854602,4.38612026876672e-05,"Upregulated (π < 0.05)",""
"57","MYO18B",-0.701740436076783,11.3669809342767,-2.97666020244365,0.0143457002626977,0.575235282220109,-2.88660667427993,0.0508741444522194,"not signifficant",""
"58","CDC34",-1.52074827650684,10.9454491928209,-2.9462130660037,0.0151009745360646,0.575235282220109,-2.91961265529451,0.00170108084628971,"Downregulated (π < 0.05)",""
"59","PDLIM3",-0.863095174255189,15.2563901496079,-2.94561642938025,0.0151161723261061,0.575235282220109,-2.92026044259222,0.0268339763525044,"Downregulated (π < 0.05)",""
"60","STX7",0.842507140841366,7.72312092275872,2.93534469871597,0.0153802711340349,0.575235282220109,-2.93141874773903,0.0296827556049914,"Upregulated (π < 0.05)",""
"61","EPDR1",-0.690313870092856,11.2360144998349,-2.93137192991901,0.0154836697133984,0.575235282220109,-2.93573741538193,0.0562917623670477,"not signifficant",""
"62","YWHAB",-0.624613821483559,11.5479798247738,-2.91965353725167,0.0157927964642792,0.575235282220109,-2.9484857284863,0.0749432659605358,"not signifficant",""
"63","CNP",-2.14781732570627,10.4084084795505,-4.21101261490896,0.016028848826753,0.575235282220109,-3.63736959213192,0.000139462719420978,"Downregulated (π < 0.05)",""
"64","TBC1D17",-0.732834354670045,11.8385774883333,-2.91064795872183,0.0160346152282546,0.575235282220109,-2.95829245669934,0.0483732465247588,"Downregulated (π < 0.05)",""
"65","IQGAP1",1.25366879687705,9.96137349211153,2.90743089710438,0.0161219087633555,0.575235282220109,-2.96179772311853,0.00565840395917148,"Upregulated (π < 0.05)",""
"66","PSMA2",0.74337389737587,8.89915265681113,2.87861034169049,0.0169257790629177,0.575235282220109,-2.99324641783696,0.0482113529291738,"Upregulated (π < 0.05)",""
"67","CCDC28B",-1.20970153368713,7.91633493718612,-2.92406561337128,0.0175411281468571,0.575235282220109,-3.08424583333912,0.00751335121252075,"Downregulated (π < 0.05)",""
"68","GPT",-1.1165806621059,13.5176288067382,-2.8558003844705,0.0175907276252413,0.575235282220109,-3.01819362445375,0.0109829202002124,"Downregulated (π < 0.05)",""
"69","APOC3",1.20522935433068,9.54289492109248,2.85359435388279,0.0176564244224682,0.575235282220109,-3.02060895623949,0.00771108952189491,"Upregulated (π < 0.05)",""
"70","ITGB1BP2",-0.950213215551662,10.3869145716883,-2.84845445820743,0.0178104586309267,0.575235282220109,-3.02623825657545,0.0217654857804522,"Downregulated (π < 0.05)",""
"71","TPM3",-2.82782947426364,15.6361024684365,-2.83309464545062,0.0182789201063662,0.575235282220109,-3.04307495607958,1.21644504609863e-05,"Downregulated (π < 0.05)","TPM3"
"72","ETF1",-0.690151498911355,10.4216099097945,-2.83115379928323,0.018338994728917,0.575235282220109,-3.04520393131222,0.0633090819755181,"not signifficant",""
"73","SNX1",2.23191215847026,8.44945955827961,3.2650222970535,0.0184781879275465,0.575235282220109,-3.41025819205856,0.000135311900758185,"Upregulated (π < 0.05)",""
"74","EIF3A",-0.561915029335013,11.2244777646671,-2.81584736733172,0.0188198210211214,0.575235282220109,-3.06200567661377,0.107270551108307,"not signifficant",""
"75","RUVBL2",1.16895122928586,11.9866730436713,2.8147656064378,0.0188542810108741,0.575235282220109,-3.06319388890822,0.00963914184189055,"Upregulated (π < 0.05)",""
"76","GATAD2B",-0.680879355964178,10.8463576297715,-2.80485326287257,0.0191730265959188,0.575235282220109,-3.07408632680496,0.067720402796481,"not signifficant",""
"77","CLPB",-0.724974615994888,11.5773106756003,-2.80377734841684,0.019207949995859,0.575235282220109,-3.07526912528596,0.0569596496098529,"not signifficant",""
"78","PCYT2",-0.808626555700835,11.6195143974977,-2.79479601143752,0.0195019949668278,0.575235282220109,-3.08514647110299,0.0414297682177213,"Downregulated (π < 0.05)",""
"79","AP2A2",0.838189731378639,9.63810449383357,2.78338889027796,0.0198820185436106,0.575235282220109,-3.09770119101857,0.0374789178018216,"Upregulated (π < 0.05)",""
"80","C8A",-0.718899074230032,10.6313251911096,-2.76961733399702,0.0203507796335639,0.575235282220109,-3.11287215258733,0.0608191692764436,"not signifficant",""
"81","MTM1",0.834799354333542,9.0956859384576,2.80902183893023,0.0210926271405013,0.575235282220109,-3.19268042934716,0.0399011460743657,"Upregulated (π < 0.05)",""
"82","SUN1",1.18261501236073,9.54720924889676,2.80790239581574,0.0211305886939289,0.575235282220109,-3.19374364514364,0.0104475704192862,"Upregulated (π < 0.05)",""
"83","ASS1",0.891789780404023,10.7453893208558,2.74737259822263,0.0211315984662347,0.575235282220109,-3.13740834085997,0.0320768555255102,"Upregulated (π < 0.05)",""
"84","PHPT1",-1.06360157596254,13.3498063190172,-2.74653269805168,0.0211616640368805,0.575235282220109,-3.1383354890787,0.016559687794166,"Downregulated (π < 0.05)",""
"85","ACTC1",-2.20806097438905,14.2023590134895,-2.73672872086121,0.0215158138032229,0.575235282220109,-3.14916171086337,0.000208270381773534,"Downregulated (π < 0.05)",""
"86","CHCHD10",-1.0606670152462,14.2816936477564,-2.73003191434663,0.0217611450242736,0.575235282220109,-3.15656076324191,0.017251777814535,"Downregulated (π < 0.05)",""
