"","Genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","signifficant","names"
"1443","NOP56",0.635102363069581,10.7131782067466,0.87175238549452,0.406770085990848,0.690917173086326,-5.70179230386732,0.564802527310602,"not signifficant",""
"1444","ITGA7",-0.384434548377971,9.01791004222755,-0.866418092222989,0.407191974236075,0.69115479837439,-5.70867867985213,0.707934920322349,"not signifficant",""
"1445","COX7A2L",-0.311824744557111,9.26604087454493,-0.865120019187921,0.407869787486984,0.691826193169963,-5.70976691414221,0.756050800648927,"not signifficant",""
"1446","TPP2",-0.198663168728437,11.5248240747452,-0.863848562160332,0.408534458825624,0.692165032605122,-5.71083149212173,0.837077098825503,"not signifficant",""
"1447","STYXL2",-0.363520172486947,9.16469003779863,-0.863434781842031,0.408750929450022,0.692165032605122,-5.71117765937,0.722366203485799,"not signifficant",""
"1448","ABHD11",-0.224602414663821,8.72318964418287,-0.867603992715195,0.408916755288542,0.692165032605122,-5.7052902350064,0.818035709311053,"not signifficant",""
"1449","CRIP2",1.06601554880866,7.29950030254433,0.905294996044998,0.409360741733289,0.692438356099581,-5.19511308504646,0.385921672430873,"not signifficant",""
"1450","DBT",-0.257253090362978,12.0717033082444,-0.861662762395207,0.409678863876795,0.692498548525535,-5.7126585310084,0.794876957888993,"not signifficant",""
"1451","NIBAN1",-0.217398698003739,9.94983334479915,-0.861113104907965,0.40996699237436,0.692507993321542,-5.71311735278097,0.823781649246564,"not signifficant",""
"1452","ALYREF",-0.201058800124018,10.9447310830506,-0.860550722358286,0.410261935983813,0.692528929129701,-5.7135865390505,0.83599283292912,"not signifficant",""
"1453","ITGB1BP2",0.286458787073411,10.3869145716883,0.858717597037658,0.411224341112001,0.693550203176997,-5.7151140745474,0.775263763221161,"not signifficant",""
"1454","MYH14",-0.234005016457948,10.9660085961055,-0.858249541299324,0.411470323152851,0.693550203176997,-5.71550365920115,0.812368880484059,"not signifficant",""
"1455","EIF3C",-0.517582128258756,7.51297330469029,-0.857782545977794,0.411715848887202,0.693550203176997,-5.71589218104598,0.631717049077871,"not signifficant",""
"1456","MYOZ3",-0.255736755256054,12.8741479910623,-0.855659482634854,0.41283333435667,0.694699270583102,-5.71765621652715,0.79751614393125,"not signifficant",""
"1457","C8orf82",-0.445196724790438,8.16564410640574,-0.855409889598867,0.412964845874981,0.694699270583102,-5.71786335666614,0.67453697812986,"not signifficant",""
"1458","CLYBL",-0.379865872947505,9.22577059049922,-0.854640481731266,0.413370431051502,0.694744682220142,-5.71850157308758,0.71492491794578,"not signifficant",""
"1459","ATP1A2",-0.27298534132367,12.8071359728612,-0.854283414920701,0.413558748004564,0.694744682220142,-5.71879759028687,0.785814937273354,"not signifficant",""
"1460","C4A",0.372823934479044,11.4332856603517,0.852674090220544,0.414408236925036,0.695295662681258,-5.72013045127284,0.720059099563932,"not signifficant",""
"1461","FAM3C",-0.263274048348041,7.96669704197457,-0.862554820571235,0.414454085343663,0.695295662681258,-5.70654886685078,0.793033383595026,"not signifficant",""
"1462","SERPINC1",0.306255988518352,11.1288257729881,0.850832808386324,0.415381633698832,0.696285221862884,-5.72165279203008,0.764094718228773,"not signifficant",""
"1463","IGLV1-47",-0.282479549803567,10.3110610460559,-0.849958480461096,0.415844397239476,0.696285221862884,-5.72237468808125,0.780469182671827,"not signifficant",""
"1464","RUSF1",-0.229690578230221,11.2833970426173,-0.849860664281957,0.415896191271833,0.696285221862884,-5.72245541140475,0.81749373165813,"not signifficant",""
"1465","PHPT1",-0.328828897461587,13.3498063190172,-0.849133114648882,0.416281570237805,0.696454695326185,-5.72305557666948,0.749624042950907,"not signifficant",""
"1466","GNG12",-0.333881298661506,11.5979318054529,-0.847302494446009,0.417252321170514,0.697602618819188,-5.72456373694814,0.746892752832254,"not signifficant",""
"1467","RPS15A",-0.292663741755094,11.5939906535191,-0.845498882792247,0.418210263527396,0.698727577304463,-5.72604692526242,0.774811311564796,"not signifficant",""
"1468","DDX42",0.304227287448652,11.2636739200042,0.844580787319383,0.418698463440415,0.699066712460802,-5.72680087698175,0.767312156070556,"not signifficant",""
"1469","GLRX",-0.314045345442443,13.9307666087623,-0.843314583934001,0.419372409152464,0.699360729052378,-5.72783954948919,0.761165754778363,"not signifficant",""
"1470","DPP7",0.270252678648093,9.0468884283143,0.84294044152203,0.419571690743893,0.699360729052378,-5.72814620496942,0.790792167616304,"not signifficant",""
"1471","DIP2C",-0.23354174053577,8.12292156870363,-0.845763827581682,0.420349306794539,0.699360729052378,-5.72347605400473,0.816765345191854,"not signifficant",""
"1472","BLVRA",-0.405475758808505,12.4865438688165,-0.841336995733133,0.420426474874266,0.699360729052378,-5.72945910524467,0.703745190868859,"not signifficant",""
"1473","NUDC",0.238183851153332,9.7855150396733,0.841205392707884,0.420496684079471,0.699360729052378,-5.72956676664036,0.813553881143217,"not signifficant",""
"1474","PSMA5",0.183947547809126,13.2687287166646,0.840978282904006,0.420617864214037,0.699360729052378,-5.7297525259952,0.852736921378228,"not signifficant",""
