Genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,xiao,signifficant,names
TUBGCP2,-0.4320609328045686,8.102830839220985,-1.4928126386105127,0.16477208461311135,0.6377693667972384,-4.816341674471618,0.45882388022139237,not signifficant,
C1QBP,-0.44014186514522,15.096281992202162,-1.4831580388923395,0.16479599842994097,0.6377693667972384,-4.8270576880418306,0.45221549925130683,not signifficant,
ADPRHL1,0.4851763625509271,15.542077065782447,1.4827466258079656,0.16490360820697184,0.6377693667972384,-4.82755811140096,0.4170792419651778,not signifficant,
HBD,0.7880276168110925,17.791776729052938,1.480017748716297,0.16561889544798622,0.6388812897594159,-4.830875109847249,0.24245828160203203,not signifficant,
PITHD1,0.5057195307695377,10.46529130566939,1.4793682551991487,0.16578952847443645,0.6388812897594159,-4.831663996750443,0.40300903346521494,not signifficant,
BABAM2,-0.3905036475867263,11.062362160620786,-1.488093999110539,0.16599171354651493,0.6388812897594159,-4.822047211889809,0.4959534293481436,not signifficant,
SELENBP1,0.5871490039030522,14.097855767859517,1.4770328881244692,0.1664043078356018,0.6394412728064699,-4.834498718784507,0.34890528678597615,not signifficant,
PSMD12,-0.3852060108434685,11.026364673425345,-1.4736085484696262,0.16730926758408451,0.6418884400581705,-4.838649993253702,0.5022214249634123,not signifficant,
COX4I1,-0.7467059774178662,13.76059127156731,-1.4719018339912777,0.16776186818277175,0.6425950598872889,-4.840716673276669,0.26367795285120776,not signifficant,
SERPINF1,0.53024556773914,11.924634616939905,1.4676272590081416,0.16890000943954178,0.6450169882743643,-4.845885943626373,0.38945210710357214,not signifficant,
ATP5MG,-0.5223645383262472,13.455500958715884,-1.4673890847829214,0.16896361796108517,0.6450169882743643,-4.846173680263038,0.39502679174834787,not signifficant,
NDUFAF8,-0.5612463104033978,7.986828831593851,-1.4742986351424285,0.16960211703643002,0.6450169882743643,-4.838663676222666,0.3694206284624147,not signifficant,
HDLBP,0.762777531091908,8.958806984467804,1.5167861519123844,0.17001028528309609,0.6450169882743643,-4.5502872639945355,0.25883545781658607,not signifficant,
P4HA1,0.4830920635781677,8.480048118612794,1.4634104536785184,0.17002919433575867,0.6450169882743643,-4.850975715860155,0.4248855959082378,not signifficant,
MRPS23,-0.4939668199226439,9.446621656709967,-1.463386903494666,0.17003551861708788,0.6450169882743643,-4.851004114483074,0.4167850361082199,not signifficant,
SUCLG2,-0.46572434858937584,12.776718833260817,-1.4624764330099926,0.1702801740139508,0.6450169882743643,-4.852101800052653,0.43846445731049655,not signifficant,
LMAN2,-0.4866246731468511,11.243840702080092,-1.4604358946904237,0.17082957930717005,0.6460758497019986,-4.854560294820589,0.4232005811838876,not signifficant,
