,fiberID,subject,fiber_number,plate_number,plate_position,digestion_batch,MS_batch,date_isolation
608,P5_fibNumber87,P5,87,2,C10,1,1,07/12/2021
609,P5_fibNumber86,P5,86,9,G11,5,3,07/12/2021
610,P5_fibNumber85,P5,85,9,E3,5,3,07/12/2021
611,P5_fibNumber84,P5,84,10,G6,5,3,07/12/2021
612,P5_fibNumber81,P5,81,7,D2,4,2,07/12/2021
613,P5_fibNumber80,P5,80,5,F12,3,2,07/12/2021
614,P5_fibNumber8,P5,8,5,G8,3,2,01/10/2021
615,P5_fibNumber79,P5,79,9,G1,5,3,07/12/2021
616,P5_fibNumber78,P5,78,4,H8,2,1,07/12/2021
617,P5_fibNumber76,P5,76,10,H11,5,3,07/12/2021
618,P5_fibNumber75,P5,75,7,B9,4,2,07/12/2021
619,P5_fibNumber74,P5,74,7,G9,4,2,07/12/2021
620,P5_fibNumber73,P5,73,11,E2,6,3,07/12/2021
621,P5_fibNumber72,P5,72,5,F8,3,2,07/12/2021
622,P5_fibNumber71,P5,71,6,D5,3,2,07/12/2021
623,P5_fibNumber70,P5,70,8,D10,4,3,07/12/2021
624,P5_fibNumber7,P5,7,6,H8,3,2,01/10/2021
625,P5_fibNumber69,P5,69,5,C12,3,2,07/12/2021
626,P5_fibNumber68,P5,68,5,F4,3,2,07/12/2021
627,P5_fibNumber67,P5,67,7,E1,4,2,07/12/2021
628,P5_fibNumber66,P5,66,1,A10,1,1,07/12/2021
629,P5_fibNumber65,P5,65,3,B11,2,1,07/12/2021
630,P5_fibNumber64,P5,64,1,E9,1,1,07/12/2021
631,P5_fibNumber63,P5,63,8,B10,4,3,07/12/2021
632,P5_fibNumber62,P5,62,10,H1,5,3,07/12/2021
633,P5_fibNumber6,P5,6,2,H8,1,1,01/10/2021
634,P5_fibNumber58,P5,58,5,D4,3,2,07/12/2021
635,P5_fibNumber55,P5,55,4,A7,2,1,07/12/2021
636,P5_fibNumber54,P5,54,9,C2,5,3,03/11/2021
637,P5_fibNumber53,P5,53,6,A5,3,2,03/11/2021
638,P5_fibNumber52,P5,52,10,C1,5,3,03/11/2021
639,P5_fibNumber51,P5,51,6,C3,3,2,03/11/2021
640,P5_fibNumber50,P5,50,8,E6,4,3,03/11/2021
641,P5_fibNumber49,P5,49,6,F5,3,2,03/11/2021
642,P5_fibNumber48,P5,48,3,H7,2,1,03/11/2021
643,P5_fibNumber46,P5,46,5,C8,3,2,03/11/2021
644,P5_fibNumber45,P5,45,8,B6,4,3,03/11/2021
645,P5_fibNumber44,P5,44,2,D1,1,1,03/11/2021
