"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IGKV3D-20",-0.194339094374657,12.5780350637792,-1.34958796311007,0.205502494378071,0.356791933541245,-6.83987662633821
"PTAR1",0.342213501854138,14.2159166097049,1.34564722008003,0.206729451211388,0.358711408296919,-6.84482520489662
"PRPF40A",0.420044949021616,9.10849035155963,1.47059121211152,0.207507567557743,0.359850271204888,-6.0866117004078
"ZRANB2",0.155690572549245,10.2434365269389,1.34197131558539,0.207879442544484,0.360283725934867,-6.84943200770302
"TYMP",0.140378345017194,10.9705552255845,1.34088993991334,0.208218757721517,0.360660274951397,-6.85078553947126
"SWAP70",-0.287290291910107,14.9824585439634,-1.33867589590532,0.208914919507455,0.361654122521693,-6.85355439651807
"SDHB",0.0996389911810347,16.8563840045926,1.33734075010225,0.209335663544186,0.362170307829665,-6.85522254803553
"COMT",-0.155448231447853,13.6295266079766,-1.33557218472852,0.209894074452198,0.362735010597522,-6.85743040428482
"MTX1",0.094299544099826,11.4524018466737,1.3355257806603,0.20990874281705,0.362735010597522,-6.85748830668892
"FKBP4",-0.115488250459762,12.3260146796921,-1.33492680229979,0.210098156786861,0.362735010597522,-6.85823557615488
"THNSL1",-0.112447582125498,11.7263479502017,-1.33466842005542,0.210179908386789,0.362735010597522,-6.85855785355012
"TOLLIP",0.102897021773474,12.4597155935626,1.33436536354436,0.21027582847836,0.362735010597522,-6.85893579627145
"MSN",-0.10477250573692,15.3644604356672,-1.33362365383013,0.210510739515299,0.362928375302047,-6.85986052779447
"MRPL51",0.0909767245679376,10.8897123484431,1.33228303840384,0.2109358858707,0.363449296062927,-6.86153102270073
"ARIH2",-0.265569803989031,8.48304479833456,-1.33105039476945,0.211327419682704,0.363911727950112,-6.86306592430307
"DHODH",0.369523722053964,11.3255971869443,1.32741087562068,0.212486985056223,0.365695422737997,-6.86759199639254
"RPLP2",-0.0700235890757668,14.1586082978246,-1.3269217209701,0.212643232831391,0.365751311418371,-6.86819963196538
"ARPC4",0.113306204588868,12.230509754777,1.32618471772591,0.212878829120705,0.365943536970148,-6.86911484762372
"ASPSCR1",0.113954916802795,10.0960834260738,1.32288649993934,0.213935812949989,0.367480759241861,-6.87320615430641
"CTSD",0.18142069808521,14.5454620668262,1.32235840319753,0.214105455434198,0.367480759241861,-6.87386056183044
"EIF3K",0.105343565358369,11.5410826162493,1.32223177871498,0.214146148025206,0.367480759241861,-6.87401744476953
"SZRD1",0.1028061194254,10.1150416676043,1.3217505508321,0.214300855860561,0.367532808513033,-6.87461357001829
"MEMO1",-0.0946907022872736,12.1721237054344,-1.32086500316729,0.214585788257498,0.367662153680599,-6.87571014480282
"ADIRF",-0.110319426890328,10.9579930628399,-1.32041618729162,0.214730318116205,0.367662153680599,-6.87626571351558
"COASY",-0.0816996365294163,12.4859856260205,-1.32035652955105,0.214749535449311,0.367662153680599,-6.87633955095147
"FASTKD2",0.166981944051377,10.52985169424,1.31904721859837,0.215171657237228,0.367993097308669,-6.87795946357785
"FASN",0.630481645398724,10.3672239794905,1.31863011009577,0.215306276952486,0.367993097308669,-6.8784752793291
"RPS10",-0.0689004401831461,14.4954114351324,-1.31829153701817,0.215415600917578,0.367993097308669,-6.87889388869905
"GFM1",0.112405912605116,10.9945183173583,1.31821299840816,0.215440967290693,0.367993097308669,-6.87899098229223
"APOO",0.162567408508677,13.6231097841022,1.31676375442461,0.215909486722089,0.368580319620898,-6.88078187130898
"SCPEP1",0.120888039307598,10.3724992844137,1.31591943624279,0.216182830230258,0.368833870283147,-6.88182457880276
"SNTA1",-0.091266070647789,13.2790624704828,-1.31543882798705,0.216338552177408,0.368886567619296,-6.8824179014904
"DCTN1",-0.0946367315496115,12.6747392994916,-1.31369640842442,0.216903890439293,0.369493972401158,-6.88456765838622
"MIPEP",0.0854328838891156,12.0380283137533,1.31357030253407,0.216944853507956,0.369493972401158,-6.8847231656133
"VBP1",0.101021299281369,11.1942674340679,1.31268809028592,0.217231601730102,0.369769229903485,-6.88581076431784
"GOLGB1",-0.241071423014375,12.6514037999263,-1.31200028397309,0.217455378440987,0.369937042770936,-6.886658333933
"ARL8B",-0.253457985135302,14.9409665534208,-1.31114834287445,0.217732819727782,0.370195904657995,-6.88770772127698
"SLC25A11",-0.121639048444301,16.6769299806552,-1.30950250580062,0.218269626079476,0.370872315830633,-6.88973361139838
